country,year,co2,co2_per_capita,coal_co2,oil_co2,gas_co2,population,Code,gdp_per_capita,renewable_energy_consumption
Algeria,1990,76.738,3.024,2.942,23.204,38.908,25375759,DZA,11728.546,0.11906669
Algeria,1991,78.807,3.032,2.689,26.066,38.428,25987891,DZA,11314.864,0.26082626
Algeria,1992,79.883,3.0,2.378,28.678,31.932,26628518,DZA,11241.415,0.17263989
Algeria,1993,81.944,3.004,1.924,27.993,36.098,27276996,DZA,10743.706,0.32912087
Algeria,1994,88.608,3.177,2.286,30.45,37.386,27887227,DZA,10414.035,0.15274073
Algeria,1995,96.777,3.399,1.935,27.081,47.222,28470152,DZA,10588.443,0.1712212
Algeria,1996,100.039,3.446,1.407,27.407,50.567,29032996,DZA,10808.879,0.12100656
Algeria,1997,88.369,2.988,1.381,30.019,39.007,29579249,DZA,10725.968,0.06994659
Algeria,1998,106.537,3.545,2.11,33.09,54.641,30054098,DZA,11094.888,0.19370805
Algeria,1999,91.449,3.001,2.173,22.188,50.92,30474312,DZA,11292.037,0.18108313
Algeria,2000,85.399,2.763,1.96,26.828,38.534,30903850,DZA,11558.221,0.05001067
Algeria,2001,86.839,2.772,2.096,28.458,41.029,31331173,DZA,11742.595,0.061327934
Algeria,2002,90.692,2.856,2.609,29.495,44.653,31750790,DZA,12213.126,0.048507243
Algeria,2003,94.581,2.939,2.788,31.943,44.027,32175762,DZA,12835.182,0.2143434
Algeria,2004,91.714,2.811,1.924,32.818,41.209,32628233,DZA,13226.765,0.19449507
Algeria,2005,110.993,3.352,2.363,31.052,61.211,33109211,DZA,13738.496,0.40765893
Algeria,2006,105.896,3.149,2.7,35.233,49.306,33623459,DZA,13920.694,0.15344006
Algeria,2007,109.889,3.214,3.012,38.322,51.076,34189375,DZA,14114.675,0.1504157
Algeria,2008,111.087,3.191,3.008,37.363,51.551,34816912,DZA,14206.776,0.17631334
Algeria,2009,118.856,3.349,1.594,44.891,54.894,35490399,DZA,14104.428,0.20000759
Algeria,2010,118.353,3.27,1.216,45.365,53.368,36188192,DZA,14496.421,0.10803143
Algeria,2011,125.095,3.39,1.048,46.92,56.721,36903328,DZA,14641.964,0.22096606
Algeria,2012,135.674,3.604,1.037,48.539,64.114,37646120,DZA,14697.54,0.21108034
Algeria,2013,140.786,3.665,0.725,51.919,65.45,38414134,DZA,14778.191,0.060776502
Algeria,2014,151.283,3.859,0.546,52.885,73.831,39204992,DZA,15073.763,0.110372595
Algeria,2015,160.087,4.0,0.502,55.59,78.769,40019473,DZA,15239.518,0.09101885
Algeria,2016,158.482,3.88,0.0,54.627,78.677,40850673,DZA,15511.686,0.13686113
Algeria,2017,165.174,3.962,0.865,55.323,82.352,41689261,DZA,15427.664,0.23208226
Algeria,2018,172.705,4.063,1.451,56.233,88.885,42504975,DZA,15343.426,0.27123353
Algeria,2019,179.907,4.155,1.198,59.637,91.998,43294503,DZA,15199.199,0.27703846
Algeria,2020,168.178,3.819,0.542,54.125,87.024,44042041,DZA,14194.155,0.2825046
Algeria,2021,179.596,4.012,1.107,57.343,96.259,44761051,DZA,14496.865,0.23804712
Algeria,2022,184.558,4.058,0.775,57.407,100.626,45477339,DZA,14782.2,0.22791375
Algeria,2023,178.133,3.859,0.689,59.966,92.546,46164169,DZA,15159.324,0.22667149
Argentina,1990,112.149,3.424,3.14,59.188,43.213,32755859,ARG,17007.285,9.72907
Argentina,1991,117.755,3.544,2.939,61.233,47.284,33230247,ARG,18295.61,8.570026
Argentina,1992,121.535,3.607,3.107,63.633,48.303,33693487,ARG,19476.283,9.639757
Argentina,1993,118.001,3.455,2.528,67.152,40.807,34152666,ARG,20791.346,11.552494
Argentina,1994,118.469,3.423,3.561,67.203,42.677,34613440,ARG,21711.844,12.563101
Argentina,1995,125.277,3.572,3.741,62.834,53.194,35069968,ARG,20819.5,11.829992
Argentina,1996,131.15,3.693,3.114,65.921,57.542,35513745,ARG,21695.596,9.646128
Argentina,1997,136.553,3.799,2.807,66.868,61.504,35947739,ARG,23172.158,11.7813425
Argentina,1998,139.32,3.83,3.155,69.576,61.614,36372814,ARG,23783.102,10.780106
Argentina,1999,148.304,4.031,2.788,72.723,67.619,36794636,ARG,22714.512,8.606011
Argentina,2000,143.469,3.855,2.36,67.434,69.438,37213933,ARG,22281.38,11.556684
Argentina,2001,135.137,3.592,2.008,64.334,64.807,37624762,ARG,21066.459,15.036309
Argentina,2002,124.931,3.285,1.579,57.495,62.618,38029300,ARG,18571.701,15.334841
Argentina,2003,134.481,3.5,2.48,59.355,69.068,38424224,ARG,20005.139,13.613283
Argentina,2004,157.049,4.046,2.532,67.813,82.913,38815865,ARG,21591.45,11.464811
Argentina,2005,161.589,4.12,3.668,71.8,81.967,39216734,ARG,23262.408,12.031582
Argentina,2006,174.309,4.399,3.968,81.911,83.867,39622060,ARG,24877.25,12.677819
Argentina,2007,173.581,4.338,3.759,77.952,87.178,40016709,ARG,26850.664,10.023992
Argentina,2008,187.342,4.634,3.975,88.658,90.12,40424101,ARG,27658.484,9.871803
Argentina,2009,178.181,4.361,3.305,82.38,87.993,40854783,ARG,25747.197,11.193401
Argentina,2010,185.946,4.504,4.082,90.145,86.928,41288642,ARG,28056.258,11.091996
Argentina,2011,189.775,4.548,4.825,86.906,92.586,41730610,ARG,29425.76,10.412118
Argentina,2012,191.362,4.539,5.078,85.587,95.381,42161676,ARG,28825.967,9.701297
Argentina,2013,189.538,4.451,4.84,87.487,91.338,42582408,ARG,29227.66,10.134094
Argentina,2014,188.397,4.379,5.536,84.292,92.844,43024021,ARG,28200.814,10.396154
Argentina,2015,191.744,4.41,5.467,86.954,93.535,43476961,ARG,28669.207,10.275299
Argentina,2016,189.92,4.326,4.192,84.556,96.303,43900264,ARG,27802.105,9.586403
Argentina,2017,186.899,4.22,4.279,80.856,96.442,44288844,ARG,28334.904,10.4453335
Argentina,2018,180.599,4.044,4.356,74.392,96.123,44654822,ARG,27367.115,10.823792
Argentina,2019,178.508,3.969,2.143,74.847,95.606,44973412,ARG,26629.553,11.416995
Argentina,2020,165.121,3.654,3.224,67.319,89.083,45191917,ARG,23877.094,11.833357
Argentina,2021,191.108,4.218,4.51,86.529,93.073,45312226,ARG,26300.273,10.9474535
Argentina,2022,204.081,4.494,4.78,99.135,92.908,45407866,ARG,27627.963,12.009511
Argentina,2023,195.806,4.3,4.106,93.742,91.051,45538356,ARG,27104.98,14.100092
Australia,1990,278.16,16.242,141.877,88.777,34.455,17126249,AUS,35669.64,4.137041
Australia,1991,279.534,16.109,146.083,88.177,32.786,17353139,AUS,35083.246,4.3940225
Australia,1992,284.529,16.213,150.049,87.849,33.97,17549234,AUS,34841.23,4.3885193
Australia,1993,288.874,16.299,150.096,90.318,35.67,17722869,AUS,35930.12,4.406949
Australia,1994,293.701,16.41,151.376,91.854,37.032,17897388,AUS,37002.195,4.1957083
Australia,1995,305.056,16.858,155.735,96.068,39.847,18095295,AUS,38014.33,4.001723
Australia,1996,311.941,17.041,160.388,98.664,39.781,18305265,AUS,39006.79,3.9997537
Australia,1997,320.333,17.311,167.683,98.381,41.09,18504864,AUS,40097.0,3.9143484
Australia,1998,334.136,17.867,177.614,99.142,43.506,18701660,AUS,41550.586,3.8129077
Australia,1999,343.959,18.189,183.231,100.809,45.564,18909934,AUS,43164.816,3.7857795
Australia,2000,350.008,18.294,185.797,102.65,46.61,19132426,AUS,44347.07,3.7645082
Australia,2001,357.784,18.475,190.082,103.174,49.326,19365383,AUS,44667.926,3.655366
Australia,2002,362.537,18.501,191.147,105.452,50.589,19595306,AUS,45920.18,3.7108545
Australia,2003,369.63,18.65,195.386,109.666,49.912,19819398,AUS,46798.09,3.7965071
Australia,2004,383.159,19.113,202.225,113.748,52.83,20046631,AUS,48256.25,3.8290668
Australia,2005,386.176,19.029,200.715,116.504,54.458,20294430,AUS,49176.06,4.095098
Australia,2006,392.36,19.055,204.401,117.364,55.777,20590515,AUS,49853.72,4.023526
Australia,2007,399.475,19.064,203.559,119.32,61.006,20954497,AUS,50799.26,3.7864707
Australia,2008,404.84,18.944,204.688,122.931,61.744,21370545,AUS,51577.074,3.499129
Australia,2009,407.094,18.689,206.066,122.373,63.087,21782958,AUS,51481.25,3.7221737
Australia,2010,405.131,18.297,200.552,124.551,64.246,22141527,AUS,51811.78,4.0876446
Australia,2011,403.858,17.965,192.141,129.802,66.46,22479723,AUS,52326.766,5.3919606
Australia,2012,406.197,17.775,189.154,133.681,67.7,22852597,AUS,53435.18,5.399917
Australia,2013,399.068,17.174,176.363,137.311,69.642,23236224,AUS,53890.105,6.1726875
Australia,2014,392.729,16.644,168.146,137.536,70.591,23595552,AUS,54470.16,5.6627235
Australia,2015,401.497,16.765,174.205,137.952,71.37,23947955,AUS,54867.773,5.9553065
Australia,2016,410.388,16.868,179.562,137.699,73.804,24329914,AUS,55507.977,6.7850986
Australia,2017,413.818,16.733,176.932,139.838,75.229,24730998,AUS,55846.03,6.3734684
Australia,2018,415.591,16.544,169.401,144.034,78.346,25119651,AUS,56600.438,7.847639
Australia,2019,415.77,16.316,164.952,143.362,80.305,25482660,AUS,56981.395,8.40721
Australia,2020,399.184,15.506,156.681,135.404,83.221,25743732,AUS,56215.58,10.29223
Australia,2021,389.02,14.987,151.894,134.679,80.065,25956358,AUS,57321.562,12.282586
Australia,2022,384.362,14.67,146.069,133.807,80.412,26200929,AUS,58997.703,13.247022
Australia,2023,382.972,14.478,142.666,141.596,74.636,26451074,AUS,59552.88,14.323447
Austria,1990,62.184,8.097,18.139,28.9,11.836,7679582,AUT,43728.62,27.76444
Austria,1991,65.782,8.48,18.7,31.407,12.502,7757088,AUT,44784.227,26.52839
Austria,1992,60.283,7.686,14.385,30.152,12.518,7842667,AUT,45221.36,29.827892
Austria,1993,60.709,7.677,13.274,31.266,13.023,7907434,AUT,45086.26,30.718403
Austria,1994,61.083,7.695,13.459,30.716,13.658,7938100,AUT,45991.938,30.027718
Austria,1995,64.061,8.058,15.425,30.854,14.901,7950275,AUT,47146.754,30.140165
Austria,1996,67.405,8.467,15.069,33.778,15.797,7960868,AUT,48126.39,27.074467
Austria,1997,67.302,8.445,16.157,32.853,15.301,7969749,AUT,49103.43,28.264048
Austria,1998,66.937,8.39,13.707,34.66,15.717,7978413,AUT,50762.824,28.531652
Austria,1999,65.668,8.215,13.876,32.813,16.102,7993849,AUT,52570.1,30.66756
Austria,2000,66.177,8.259,15.751,32.161,15.264,8012872,AUT,54116.547,31.26769
Austria,2001,70.166,8.725,16.562,34.409,16.156,8042189,AUT,54619.77,29.411423
Austria,2002,71.969,8.905,16.736,36.056,16.069,8081595,AUT,55158.492,28.923092
Austria,2003,77.396,9.528,17.941,39.081,17.267,8122551,AUT,55517.06,24.120514
Austria,2004,77.694,9.506,17.766,39.1,17.662,8173453,AUT,56589.035,26.119173
Austria,2005,79.092,9.611,17.862,39.394,18.701,8229148,AUT,57508.98,26.316614
Austria,2006,76.812,9.288,17.866,38.134,17.498,8269852,AUT,59096.01,26.989784
Austria,2007,74.112,8.932,17.456,36.624,16.496,8296906,AUT,61128.55,29.094082
Austria,2008,73.49,8.829,17.028,35.481,17.436,8323196,AUT,61823.1,29.577007
Austria,2009,67.307,8.065,12.83,34.415,17.035,8345019,AUT,59450.027,32.5476
Austria,2010,72.008,8.608,15.497,34.795,18.777,8365050,AUT,60380.14,30.113115
Austria,2011,69.901,8.328,15.818,33.282,17.73,8393226,AUT,61938.617,29.15819
Austria,2012,67.274,7.979,14.685,32.639,16.945,8431540,AUT,62044.215,34.49825
Austria,2013,67.767,7.99,14.959,33.457,16.331,8481365,AUT,61524.96,34.02354
Austria,2014,64.166,7.507,13.801,32.42,14.946,8547760,AUT,61507.38,35.016697
Austria,2015,66.357,7.677,14.371,32.997,15.966,8643981,AUT,61614.56,33.051586
Austria,2016,67.217,7.693,13.334,34.108,16.736,8737874,AUT,62242.336,34.026432
Austria,2017,69.598,7.91,14.023,34.544,17.975,8798734,AUT,63216.0,33.21268
Austria,2018,66.562,7.528,12.294,34.082,17.018,8841608,AUT,64471.633,33.13921
Austria,2019,67.946,7.651,13.004,34.084,17.79,8880830,AUT,65312.023,34.18949
Austria,2020,62.176,6.969,11.371,30.775,16.959,8921362,AUT,60931.94,36.879936
Austria,2021,65.757,7.333,12.418,32.165,17.923,8967006,AUT,63576.242,34.638123
Austria,2022,61.489,6.783,11.666,30.734,15.967,9064633,AUT,66294.72,35.134083
Austria,2023,58.578,6.416,10.892,30.733,13.832,9130386,AUT,65015.133,40.022125
Azerbaijan,1990,51.318,7.097,0.343,22.466,27.841,7231035,AZE,10612.967,1.7696381
Azerbaijan,1991,50.047,6.842,0.251,22.515,26.636,7314263,AZE,10399.394,1.9544965
Azerbaijan,1992,56.174,7.585,0.066,31.225,22.6,7405734,AZE,7928.372,2.2671876
Azerbaijan,1993,48.406,6.451,0.011,30.818,17.283,7504063,AZE,6005.1978,3.6319344
Azerbaijan,1994,41.945,5.513,0.004,25.032,16.671,7608844,AZE,4757.5845,2.9807847
Azerbaijan,1995,33.309,4.315,0.015,19.885,13.308,7719236,AZE,4147.9746,2.6951706
Azerbaijan,1996,31.242,3.99,0.015,19.37,11.737,7830936,AZE,4159.5977,3.2475834
Azerbaijan,1997,29.843,3.76,0.015,18.551,11.062,7936177,AZE,4358.605,3.778814
Azerbaijan,1998,31.785,3.96,0.004,20.948,10.599,8025764,AZE,4749.1743,4.2910814
Azerbaijan,1999,28.822,3.558,0.006,16.777,11.688,8100413,AZE,5056.0464,3.3179066
Azerbaijan,2000,29.765,3.641,0.008,17.965,11.421,8174736,AZE,5571.3096,3.2334957
